apartment_id,name,num_bedrooms,num_bathrooms,num_beds,area,maximum_guests,rating,review_count,like_count,bedType_name,roomType_name,propertyType_name,nightly_price_vnd,ward,district,city,latitude,longitude,amenities
35293,RedDoorz Plus near Nowzone Plaza - HO 1292,1,1,1,25,2,5,2,7,Real Bed,Nguyên căn,Căn hộ dịch vụ,433722.2934,Phường 2,Quận 5,Hồ Chí Minh,10.7593479,106.6840928,"[""Tủ lạnh"",""Cảnh quan đẹp"",""Wifi"",""TV"",""Phù hợp với trẻ nhỏ"",""Điều hoà"",""Không hút thuốc"",""Dầu gội, dầu xả"",""Giấy vệ sinh"",""Giấy ăn"",""Nước khoáng"",""Khăn tắm"",""Kem đánh răng"",""Xà phòng tắm"",""Thang máy"",""Smart tivi"",""Máy sấy"",""Internet"",""Cửa sổ""]"
16128,Bird of Paradise - THE BLOSSOM SHELTER,1,1,1,40,3,3,11,13,Queen Size,Nguyên căn,Nhà riêng,706388.1,,Quận 1,Hồ Chí Minh,10.774437486501,106.7002349287,"[""Bếp điện"",""Lò vi sóng"",""Tủ lạnh"",""Wifi"",""Ban Công"",""Điều hoà"",""Đệm bổ sung"",""Không hút thuốc"",""Dầu gội, dầu xả"",""Giấy vệ sinh"",""Khăn tắm"",""Xà phòng tắm""]"
33036,TWILINGHT.SunriseCityview-Fr Gym/Pool-D7 Near D1-4,1,1,1,39,2,0,0,1,Queen Size,Phòng riêng,Căn hộ Studio,714393.8318,Tân Hưng,Quận 7,Hồ Chí Minh,10.7453754,106.7015513,"[""Lò vi sóng"",""Tủ lạnh"",""Cảnh quan đẹp"",""Wifi"",""Ban Công"",""TV"",""Phù hợp với trẻ nhỏ"",""Điều hoà"",""Máy giặt"",""Không hút thuốc"",""Dầu gội, dầu xả"",""Giấy vệ sinh"",""Bể Bơi"",""Khăn tắm"",""Kem đánh răng"",""Xà phòng tắm"",""Thang máy"",""Smart tivi"",""Máy sấy"",""Internet"",""Cửa sổ"",""Nhà bếp""]"
13220,Summer Vibes★Dreamy 2-BRs Apt@Cathedral Church D1,2,2,3,100,7,4,11,5,Queen Size,Nguyên căn,Căn hộ chung cư,1.8368445227e+06,Đa Kao,Quận 1,Hồ Chí Minh,10.784133,106.698292,"[""BBQ"",""Bếp điện"",""Lò vi sóng"",""Tủ lạnh"",""Wifi"",""Ban Công"",""TV"",""Phù hợp với trẻ nhỏ"",""Điều hoà"",""Máy giặt"",""Không hút thuốc"",""Dầu gội, dầu xả"",""Giấy vệ sinh"",""Giấy ăn"",""Nước khoáng"",""Khăn tắm"",""Kem đánh răng"",""Xà phòng tắm""]"
40403,CLASSIC STYLE  | 10 MINS BEN THANH MARKET,1,1,1,36,3,0,0,4,Queen Size,Nguyên căn,Căn hộ chung cư,816349.1809,Phường 22,Bình Thạnh,Hồ Chí Minh,10.7933998,106.717649,"[""BBQ"",""Lò vi sóng"",""Tủ lạnh"",""Cảnh quan đẹp"",""Gần sân golf"",""Wifi"",""TV"",""Phù hợp với trẻ nhỏ"",""Điều hoà"",""Máy giặt"",""Không hút thuốc"",""Dầu gội, dầu xả"",""Giấy vệ sinh"",""Nước khoáng"",""Bể Bơi"",""Bếp Ga"",""Khăn tắm"",""Xà phòng tắm"",""Thang máy"",""Máy sấy"",""Internet"",""Cửa sổ"",""Nhà bếp""]"
28202,"✦✦Christine's Saigon✦✦ Apartment 3BR in Luxury Village, Central with Pool and Gym",3,2,3,110,6,0,0,0,King size,Nguyên căn,Căn hộ chung cư,2.3572170897e+06,Phường 22,Bình Thạnh,Hồ Chí Minh,10.7937418,106.7239916,"[""Bếp điện"",""Lò vi sóng"",""Tủ lạnh"",""Cảnh quan đẹp"",""Wifi"",""Ban Công"",""TV"",""Điều hoà"",""Máy giặt"",""Không hút thuốc"",""Dầu gội, dầu xả"",""Giấy vệ sinh"",""Bể Bơi"",""Thang máy"",""Smart tivi""]"
32470,DREAM HOUSE - Luxury Apartment on Royal 22,2,2,2,88,6,0,0,2,King size,Nguyên căn,Căn hộ chung cư,2.5900897e+06,Phường 12,Quận 4,Hồ Chí Minh,10.767128959919,106.70391701646,"[""Bếp điện"",""Lò vi sóng"",""Tủ lạnh"",""Wifi"",""Ban Công"",""TV"",""Phù hợp với trẻ nhỏ"",""Điều hoà"",""Máy giặt"",""Đệm bổ sung"",""Không hút thuốc"",""Dầu gội, dầu xả"",""Giấy vệ sinh"",""Nước khoáng"",""Bể Bơi"",""Khăn tắm"",""Xà phòng tắm"",""Thang máy"",""Smart tivi"",""Máy sấy"",""Internet"",""Cửa sổ"",""Nhà bếp""]"
24382,Bui Vien - Double room (phòng 2 khách),2,1,1,15,2,0,0,7,King size,Phòng riêng,Căn hộ Studio,408056.85909999994,,Quận 1,Hồ Chí Minh,10.767419,106.693215,"[""Wifi"",""Điều hoà"",""Không hút thuốc"",""Dầu gội, dầu xả"",""Giấy vệ sinh"",""Giấy ăn"",""Nước khoáng"",""Khăn tắm"",""Kem đánh răng"",""Xà phòng tắm"",""Máy sấy""]"
18650,Comfort Stay for a family in centre of Saigon,1,1,2,35,5,0,0,2,Real Bed,Phòng riêng,Nhà riêng,1.53050755e+06,,Quận 1,Hồ Chí Minh,10.7701778,106.6942026,"[""Tủ lạnh"",""Cảnh quan đẹp"",""Wifi"",""TV"",""Điều hoà"",""Không hút thuốc"",""Dầu gội, dầu xả"",""Giấy vệ sinh"",""Nước khoáng"",""Khăn tắm"",""Kem đánh răng"",""Xà phòng tắm"",""Thang máy"",""Máy sấy""]"
18908,Airhomes (Breeze Studio-King Bed),1,1,2,30,2,0,0,3,Twins Bed,Nguyên căn,Căn hộ dịch vụ,565110.48,,Tân Bình,Hồ Chí Minh,10.8132522,106.6684853,"[""Cho thú cưng"",""Bếp điện"",""Tủ lạnh"",""Cảnh quan đẹp"",""Wifi"",""TV"",""Phù hợp với trẻ nhỏ"",""Điều hoà"",""Không hút thuốc"",""Dầu gội, dầu xả"",""Giấy vệ sinh"",""Giấy ăn"",""Nước khoáng"",""Khăn tắm"",""Kem đánh răng"",""Xà phòng tắm"",""Thang máy"",""Máy sấy""]"
36835,"LUXURY GOLD APARMENT 13- 3BRs , Rooftop pool,  Central City",3,2,3,140,10,0,0,1,Queen Size,Nguyên căn,Căn hộ chung cư,3.0610151e+06,Phường 1,Quận 4,Hồ Chí Minh,10.7630468,106.6985901,"[""Bếp điện"",""Lò vi sóng"",""Tủ lạnh"",""Cảnh quan đẹp"",""Wifi"",""Ban Công"",""TV"",""Điều hoà"",""Máy giặt"",""Không hút thuốc"",""Dầu gội, dầu xả"",""Giấy vệ sinh"",""Giấy ăn"",""Nước khoáng"",""Bể Bơi"",""Khăn tắm"",""Kem đánh răng"",""Xà phòng tắm"",""Thang máy"",""Smart tivi"",""Máy sấy"",""Internet"",""Cửa sổ""]"
36406,"FIKAHOUSE ♥️ Free Breakfast, Netflix ♡ City center",1,1,1,40,4,0,0,0,Queen Size,Phòng riêng,Nhà riêng,777026.91,Nguyễn Thái Bình,Quận 1,Hồ Chí Minh,10.769778,106.702494,"[""Bếp điện"",""Lò vi sóng"",""Tủ lạnh"",""Wifi"",""Ban Công"",""TV"",""Điều hoà"",""Đệm bổ sung"",""Không hút thuốc"",""Dầu gội, dầu xả"",""Giấy vệ sinh"",""Giấy ăn"",""Nước khoáng"",""Khăn tắm"",""Kem đánh răng"",""Xà phòng tắm"",""Smart tivi"",""Máy sấy"",""Internet"",""Cửa sổ"",""Nhà bếp""]"
42274,TES HAUS 15.24* SG CENTER * FREE POOL& GYM*15.fl,1,1,1,27,2,0,0,2,Queen Size,Nguyên căn,Căn hộ chung cư,918304.53,Phường 6,Quận 4,Hồ Chí Minh,10.7620164,106.6993649,"[""Lò vi sóng"",""Wifi"",""Điều hoà"",""Máy giặt"",""Dầu gội, dầu xả"",""Bể Bơi"",""Thang máy"",""Smart tivi""]"
